match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
4,1,PW,KXIP,12,4,1,KXIP
4,1,PW,KXIP,13,9,0,KXIP
4,1,PW,KXIP,14,14,0,KXIP
4,1,PW,KXIP,15,10,0,KXIP
4,1,PW,KXIP,16,15,0,KXIP
4,1,PW,KXIP,17,5,0,KXIP
4,1,PW,KXIP,18,5,1,KXIP
4,1,PW,KXIP,19,14,0,KXIP
4,1,PW,KXIP,20,16,1,KXIP
4,2,KXIP,PW,1,6,0,KXIP
4,2,KXIP,PW,2,13,0,KXIP
4,2,KXIP,PW,3,8,1,KXIP
4,2,KXIP,PW,4,11,0,KXIP
4,2,KXIP,PW,5,10,0,KXIP
4,2,KXIP,PW,6,8,1,KXIP
4,2,KXIP,PW,7,3,0,KXIP
4,2,KXIP,PW,8,3,0,KXIP
4,2,KXIP,PW,9,4,0,KXIP
4,2,KXIP,PW,10,7,0,KXIP
4,2,KXIP,PW,11,12,1,KXIP
4,2,KXIP,PW,12,3,1,KXIP
4,2,KXIP,PW,13,15,0,KXIP
4,2,KXIP,PW,14,13,0,KXIP
4,2,KXIP,PW,15,12,0,KXIP
4,2,KXIP,PW,16,15,0,KXIP
4,2,KXIP,PW,17,2,0,KXIP
4,2,KXIP,PW,18,12,0,KXIP
4,2,KXIP,PW,19,7,0,KXIP
4,2,,,20,0,0,KXIP
5,1,RCB,DD,1,10,0,RCB
5,1,RCB,DD,2,9,0,RCB
5,1,RCB,DD,3,7,0,RCB
5,1,RCB,DD,4,4,1,RCB
5,1,RCB,DD,5,2,0,RCB
5,1,RCB,DD,6,9,1,RCB
5,1,RCB,DD,7,4,0,RCB
5,1,RCB,DD,8,8,0,RCB
5,1,RCB,DD,9,2,1,RCB
5,1,RCB,DD,10,6,0,RCB
5,1,RCB,DD,11,5,0,RCB
5,1,RCB,DD,12,8,0,RCB
5,1,RCB,DD,13,24,0,RCB
5,1,RCB,DD,14,16,0,RCB
5,1,RCB,DD,15,7,1,RCB
5,1,RCB,DD,16,13,0,RCB
5,1,RCB,DD,17,8,2,RCB
5,1,RCB,DD,18,2,0,RCB
5,1,RCB,DD,19,6,0,RCB
5,1,RCB,DD,20,7,2,RCB
5,2,DD,RCB,1,9,0,RCB
5,2,DD,RCB,2,4,0,RCB
5,2,DD,RCB,3,8,0,RCB
5,2,DD,RCB,4,11,0,RCB
5,2,DD,RCB,5,5,1,RCB
5,2,DD,RCB,6,6,1,RCB
5,2,DD,RCB,7,10,0,RCB
5,2,DD,RCB,8,12,1,RCB
5,2,DD,RCB,9,5,0,RCB
5,2,DD,RCB,10,9,0,RCB
5,2,DD,RCB,11,6,1,RCB
5,2,DD,RCB,12,9,0,RCB
5,2,DD,RCB,13,13,1,RCB
5,2,DD,RCB,14,5,0,RCB
5,2,DD,RCB,15,1,1,RCB
5,2,DD,RCB,16,8,0,RCB
5,2,DD,RCB,17,5,1,RCB
5,2,DD,RCB,18,11,0,RCB
5,2,DD,RCB,19,2,0,RCB
5,2,DD,RCB,20,3,2,RCB
6,1,GL,SRH,1,3,0,SRH
6,1,GL,SRH,2,10,0,SRH
6,1,GL,SRH,3,12,0,SRH
6,1,GL,SRH,4,7,0,SRH
6,1,GL,SRH,5,3,1,SRH
6,1,GL,SRH,6,5,1,SRH
6,1,GL,SRH,7,6,1,SRH
6,1,GL,SRH,8,8,0,SRH
6,1,GL,SRH,9,3,1,SRH
6,1,GL,SRH,10,3,0,SRH
6,1,GL,SRH,11,8,0,SRH
6,1,GL,SRH,12,7,0,SRH
6,1,GL,SRH,13,12,0,SRH
6,1,GL,SRH,14,9,0,SRH
6,1,GL,SRH,15,6,0,SRH
6,1,GL,SRH,16,8,0,SRH
6,1,GL,SRH,17,3,1,SRH
6,1,GL,SRH,18,4,2,SRH
6,1,GL,SRH,19,13,0,SRH
6,1,GL,SRH,20,5,0,SRH
6,2,SRH,GL,1,3,0,SRH
6,2,SRH,GL,2,8,0,SRH
6,2,SRH,GL,3,21,0,SRH
6,2,SRH,GL,4,8,1,SRH
6,2,SRH,GL,5,8,0,SRH
6,2,SRH,GL,6,11,0,SRH
6,2,SRH,GL,7,8,0,SRH
6,2,SRH,GL,8,5,0,SRH
6,2,SRH,GL,9,4,0,SRH
6,2,SRH,GL,10,13,0,SRH
6,2,SRH,GL,11,12,0,SRH
6,2,SRH,GL,12,8,0,SRH
6,2,SRH,GL,13,11,0,SRH
6,2,SRH,GL,14,6,0,SRH
6,2,SRH,GL,15,5,0,SRH
6,2,SRH,GL,16,9,0,SRH
6,2,,,17,0,0,SRH
6,2,,,18,0,0,SRH
6,2,,,19,0,0,SRH
6,2,,,20,0,0,SRH
7,1,KKR,MI,1,10,0,MI
7,1,KKR,MI,2,9,0,MI
7,1,KKR,MI,3,15,0,MI
7,1,KKR,MI,4,10,0,MI
7,1,KKR,MI,5,4,2,MI
7,1,KKR,MI,6,11,0,MI
7,1,KKR,MI,7,6,0,MI
7,1,KKR,MI,8,2,1,MI
7,1,KKR,MI,9,5,0,MI
7,1,KKR,MI,10,7,0,MI
7,1,KKR,MI,11,3,0,MI
7,1,KKR,MI,12,7,1,MI
7,1,KKR,MI,13,9,0,MI
7,1,KKR,MI,14,9,0,MI
7,1,KKR,MI,15,10,0,MI
7,1,KKR,MI,16,14,0,MI
7,1,KKR,MI,17,5,1,MI
7,1,KKR,MI,18,8,0,MI
7,1,KKR,MI,19,11,1,MI
7,1,KKR,MI,20,23,1,MI
7,2,MI,KKR,1,9,0,MI
7,2,MI,KKR,2,6,0,MI
7,2,MI,KKR,3,10,0,MI
7,2,MI,KKR,4,12,0,MI
7,2,MI,KKR,5,7,0,MI
7,2,MI,KKR,6,5,0,MI
7,2,MI,KKR,7,9,0,MI
7,2,MI,KKR,8,13,1,MI
7,2,MI,KKR,9,1,1,MI
7,2,MI,KKR,10,2,1,MI
7,2,MI,KKR,11,9,0,MI
7,2,MI,KKR,12,14,0,MI
7,2,MI,KKR,13,8,1,MI
7,2,MI,KKR,14,3,0,MI
7,2,MI,KKR,15,7,0,MI
7,2,MI,KKR,16,4,0,MI
7,2,MI,KKR,17,11,1,MI
7,2,MI,KKR,18,19,0,MI
7,2,MI,KKR,19,19,1,MI
7,2,MI,KKR,20,12,0,MI
8,1,RCB,KXIP,1,2,1,KXIP
8,1,RCB,KXIP,2,5,0,KXIP
8,1,RCB,KXIP,3,11,0,KXIP
8,1,RCB,KXIP,4,1,1,KXIP
8,1,RCB,KXIP,5,3,1,KXIP
